Name,Address,LinkOfInstitute,LOGO
CROWN COLLEGE,"8700 College View DriveSaint Bonifacius, MN 55375(952) 446-4100",https://thenccaa.org/sports/2021/7/22/Crown_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=14&image_path=/images/2021/7/22/Storm_Primary_Horizontal.png
DALLAS BAPTIST UNIVERSITY,"3000 Mountain Creek ParkwayDallas, TX 75211-6700(214) 333-5360",https://thenccaa.org/sports/2016/6/1/Dallas_Baptist_University.aspx?id=460&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2016/7/11/DBU_Arched_16_17.jpg
DALLAS CHRISTIAN COLLEGE,"2700 Christian ParkwayDallas, TX 75234-7229(972) 241-3371",https://thenccaa.org/sports/2016/6/1/Dallas_Christian_College.aspx?id=461&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/8/6/DCC_Athletic_Logo.png
DALLAS CHRISTIAN COLLEGE,"2700 Christian ParkwayDallas, TX 75234-7229(972) 241-3371",https://thenccaa.org/sports/2016/6/1/Dallas_Christian_College.aspx?id=461&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/8/6/DCC_Athletic_Logo.png
DALLAS CHRISTIAN COLLEGE,"2700 Christian ParkwayDallas, TX 75234-7229(972) 241-3371",https://thenccaa.org/sports/2016/6/1/Dallas_Christian_College.aspx?id=461&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/8/6/DCC_Athletic_Logo.png
ECCLESIA COLLEGE,"9653 Nations DriveSpringdale, AR 72762-8159(479) 248-7236",https://thenccaa.org/sports/2016/6/1/Ecclesia_College.aspx?id=462&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2017/7/3/Ecclesia_Athletics_adjusted_.png
EMMAUS BIBLE COLLEGE,"2570 Asbury RoadDubuque, IA 52001(563) 588-8000",https://thenccaa.org/sports/2017/7/7/Emmaus_Bible_College.aspx?id=670&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2021/9/7/Emmaus_Bible_College.png
ERSKINE COLLEGE,"2 Washington StreetDue West, SC 29639(864) 379-2131",https://thenccaa.org/sports/2018/6/21/Erskine_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/6/21/outlinehead.png
ERSKINE COLLEGE,"2 Washington StreetDue West, SC 29639(864) 379-2131",https://thenccaa.org/sports/2018/6/21/Erskine_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/6/21/outlinehead.png
ERSKINE COLLEGE,"2 Washington StreetDue West, SC 29639(864) 379-2131",https://thenccaa.org/sports/2018/6/21/Erskine_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/6/21/outlinehead.png
FAITH BAPTIST BIBLE COLLEGE,"1900 Northwest 4th StreetAnkeny, IA 50023-2152(515) 964-0601",https://thenccaa.org/sports/2016/6/2/Faith_Baptist_Bible_College.aspx?id=464&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2019/11/13/Faith_new_.png
FAITH BAPTIST BIBLE COLLEGE,"1900 Northwest 4th StreetAnkeny, IA 50023-2152(515) 964-0601",https://thenccaa.org/sports/2016/6/2/Faith_Baptist_Bible_College.aspx?id=464&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2019/11/13/Faith_new_.png
FAITH BAPTIST BIBLE COLLEGE,"1900 Northwest 4th StreetAnkeny, IA 50023-2152(515) 964-0601",https://thenccaa.org/sports/2016/6/2/Faith_Baptist_Bible_College.aspx?id=464&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2019/11/13/Faith_new_.png
GENEVA COLLEGE,"3200 College AvenueBeaver Falls, PA 15010(724) 846-5100",https://thenccaa.org/sports/2018/6/21/Geneva_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/6/21/Tornado_2018_Final_FullColor.png
GRACE CHRISTIAN UNIVERSITY,"1011 Aldon Street SouthwestGrand Rapids, MI 49509-1921(616) 538-2330",https://thenccaa.org/sports/2016/6/2/Grace_Bible_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/7/9/Grace_Athletics_Logo1_full_trueblack.png
GRACE COLLEGE,"1 Lancer WayWinona Lake, IN 46590-1224(574) 372-5100",https://thenccaa.org/sports/2016/6/2/Grace_College.aspx?id=466&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2018/6/5/grace_lancers_logo_rgb.png
GREAT LAKES CHRISTIAN COLLEGE,"6211 West Willow HighwayLansing, MI 48917-1299(517) 321-0242",https://thenccaa.org/sports/2016/6/2/Great_Lakes_Christian_College.aspx?id=468&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/8/6/GLCC_Athletics.png
GREENVILLE UNIVERSITY,"315 East College AvenueGreenville, IL 62246-1145(618) 664-2800",https://thenccaa.org/sports/2016/6/2/Greenville_College.aspx?id=469&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2017/7/5/Panther_Head.png
GREENVILLE UNIVERSITY,"315 East College AvenueGreenville, IL 62246-1145(618) 664-2800",https://thenccaa.org/sports/2016/6/2/Greenville_College.aspx?id=469&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2017/7/5/Panther_Head.png
GREENVILLE UNIVERSITY,"315 East College AvenueGreenville, IL 62246-1145(618) 664-2800",https://thenccaa.org/sports/2016/6/2/Greenville_College.aspx?id=469&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2017/7/5/Panther_Head.png
HANNIBAL-LAGRANGE UNIVERSITY,"2800 Palmyra RoadHannibal, MO 63401(573) 221-3675",https://thenccaa.org/sports/2018/6/21/Hannibal-LaGrange_University.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/6/21/HLGU_FullTrojan.png
HOUGHTON COLLEGE,"1 Willard AvenueHoughton, NY 14744-8732(800) 777-2556",https://thenccaa.org/sports/2016/6/2/Houghton_College.aspx?id=474&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2016/6/2/HOUGHTON11.jpg
HUNTINGTON UNIVERSITY,"2303 College AvenueHuntington, IN 46750-1237(260) 356-6000",https://thenccaa.org/sports/2016/6/2/Huntington%20University.aspx?id=475&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2016/6/2/Huntingtontwo09.jpg
HUNTINGTON UNIVERSITY,"2303 College AvenueHuntington, IN 46750-1237(260) 356-6000",https://thenccaa.org/sports/2016/6/2/Huntington%20University.aspx?id=475&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2016/6/2/Huntingtontwo09.jpg
HUNTINGTON UNIVERSITY,"2303 College AvenueHuntington, IN 46750-1237(260) 356-6000",https://thenccaa.org/sports/2016/6/2/Huntington%20University.aspx?id=475&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2016/6/2/Huntingtontwo09.jpg
JOHNSON UNIVERSITY FLORIDA,"1011 Bill Beck BoulevardKissimmee, FL 34744-4402(407) 847-8966",https://thenccaa.org/sports/2016/6/2/Johnson_University_Florida.aspx?id=477&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/9/1/JU_Suns_Primary_Logo_CMYK_Color2.png
JOHNSON UNIVERSITY TENNESSEE,"7900 Johnson DriveKnoxville, TN 37998-0001(865) 251-2200",https://thenccaa.org/sports/2016/6/2/Johnson_University_Tennessee.aspx?id=478&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2019/12/16/Screenshot_63_.png
JUDSON UNIVERSITY,"1151 North State StreetElgin, IL 60123-1404(847) 628-2500",https://thenccaa.org/sports/2016/6/2/Judson_University.aspx?id=480&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/1/30/JUDSON_EAGLES_Stacked_logo.png
JUDSON UNIVERSITY,"1151 North State StreetElgin, IL 60123-1404(847) 628-2500",https://thenccaa.org/sports/2016/6/2/Judson_University.aspx?id=480&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/1/30/JUDSON_EAGLES_Stacked_logo.png
JUDSON UNIVERSITY,"1151 North State StreetElgin, IL 60123-1404(847) 628-2500",https://thenccaa.org/sports/2016/6/2/Judson_University.aspx?id=480&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/1/30/JUDSON_EAGLES_Stacked_logo.png
KANSAS CHRISTIAN COLLEGE,"7401 MetcalfOverland Park, KS 66204(913) 722-0272",https://thenccaa.org/sports/2016/6/29/Kansas_Christian_College.aspx?id=538&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/9/22/Kansas_Christian_College_Sports_PNG_.png
KENTUCKY CHRISTIAN UNIVERSITY,"100 Academic ParkwayGrayson, KY 41143-2205(606) 474-3000",https://thenccaa.org/sports/2016/6/2/Kentucky_Christian_University.aspx?id=481&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=14&image_path=/images/2016/6/2/KentuckyChristian09.jpg
KENTUCKY CHRISTIAN UNIVERSITY,"100 Academic ParkwayGrayson, KY 41143-2205(606) 474-3000",https://thenccaa.org/sports/2016/6/2/Kentucky_Christian_University.aspx?id=481&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=14&image_path=/images/2016/6/2/KentuckyChristian09.jpg
KENTUCKY CHRISTIAN UNIVERSITY,"100 Academic ParkwayGrayson, KY 41143-2205(606) 474-3000",https://thenccaa.org/sports/2016/6/2/Kentucky_Christian_University.aspx?id=481&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=14&image_path=/images/2016/6/2/KentuckyChristian09.jpg
LANCASTER BIBLE COLLEGE,"901 Eden RoadLancaster, PA 17601-5036(717) 569-7071",https://thenccaa.org/sports/2016/6/3/Lancaster_Bible_College.aspx?id=482&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2016/6/3/LancasterBible09.jpg
LINCOLN CHRISTIAN UNIVERSITY,"100 Campus View DriveLincoln, IL 62656-2111(217) 732-3168",https://thenccaa.org/sports/2016/6/3/Lincoln_Christian_University.aspx?id=486&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/3/30/03_Red_Lion_Mascot_PMS_1807.png
LINCOLN CHRISTIAN UNIVERSITY,"100 Campus View DriveLincoln, IL 62656-2111(217) 732-3168",https://thenccaa.org/sports/2016/6/3/Lincoln_Christian_University.aspx?id=486&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/3/30/03_Red_Lion_Mascot_PMS_1807.png
LINCOLN CHRISTIAN UNIVERSITY,"100 Campus View DriveLincoln, IL 62656-2111(217) 732-3168",https://thenccaa.org/sports/2016/6/3/Lincoln_Christian_University.aspx?id=486&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/3/30/03_Red_Lion_Mascot_PMS_1807.png
MALONE UNIVERSITY,"2600 Cleveland Ave NWCanton, OH 44709(800) 521-1146",https://thenccaa.org/sports/2021/6/23/Malone_University.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2021/6/23/01_FULL_PIONEERS_4C.png
MANHATTAN CHRISTIAN COLLEGE,"1415 Anderson AvenueManhattan, KS 66502-4081(785) 539-3571",https://thenccaa.org/sports/2016/6/6/Manhattan_Christian_College.aspx?id=487&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2016/6/6/ManhattanThunderLogoFINAL.jpg
MARANATHA BAPTIST UNIVERSITY,"745 West Main StreetWatertown, WI 53094-7638(920) 261-9300",https://thenccaa.org/sports/2016/6/6/Maranatha_Baptist_University.aspx?id=488&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2021/2/16/saber_m_navy_gold.png
MID-AMERICA CHRISTIAN UNIVERSITY,"3500 SW 119th StreetOklahoma City, OK 73170-4500(405) 691-3102",https://thenccaa.org/sports/2016/6/6/Mid_America_Christian_University.aspx?id=490&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/9/1/MACU_Athletics_Logo_Evangel_01_without_text2.png
MOODY BIBLE INSTITUTE,"820 North La Salle DriveChicago, IL 60610-3263(312) 329-4000",https://thenccaa.org/sports/2016/6/6/Moody_Bible_Institute.aspx?id=492&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=13&image_path=/images/2016/6/6/M_Arch_LockupFull_4C_CMYK.jpg
MOODY BIBLE INSTITUTE,"820 North La Salle DriveChicago, IL 60610-3263(312) 329-4000",https://thenccaa.org/sports/2016/6/6/Moody_Bible_Institute.aspx?id=492&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=13&image_path=/images/2016/6/6/M_Arch_LockupFull_4C_CMYK.jpg
MOODY BIBLE INSTITUTE,"820 North La Salle DriveChicago, IL 60610-3263(312) 329-4000",https://thenccaa.org/sports/2016/6/6/Moody_Bible_Institute.aspx?id=492&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=13&image_path=/images/2016/6/6/M_Arch_LockupFull_4C_CMYK.jpg
NORTH CENTRAL UNIVERSITY,"910 Elliot AvenueMinneapolis, MN 55404-1391(800) 289-6222",https://thenccaa.org/sports/2016/6/6/North_Central_University.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2021/6/23/Rams_Logo.png
NORTH GREENVILLE UNIVERSITY,"7801 N. Tigerville Rd.Tigerville, SC 29688(864) 977-7000",https://thenccaa.org/sports/2016/6/6/North_Greenville_University.aspx?id=496&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2019/5/20/NGUSword.png
NORTH GREENVILLE UNIVERSITY,"7801 N. Tigerville Rd.Tigerville, SC 29688(864) 977-7000",https://thenccaa.org/sports/2016/6/6/North_Greenville_University.aspx?id=496&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2019/5/20/NGUSword.png
NORTH GREENVILLE UNIVERSITY,"7801 N. Tigerville Rd.Tigerville, SC 29688(864) 977-7000",https://thenccaa.org/sports/2016/6/6/North_Greenville_University.aspx?id=496&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2019/5/20/NGUSword.png
OAK HILLS CHRISTIAN COLLEGE,"1600 Oak Hills Road SWBemidji, MN 56601-8826(888) 751-8670",https://thenccaa.org/sports/2016/6/7/Oak_Hills_Christian_College.aspx?id=497&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2016/6/7/Wolfpack_vertical_GOLD.jpg
OAKLAND CITY UNIVERSITY,"138 North Lucretia StreetOakland City, IN 47660-1038(812) 749-1231",https://thenccaa.org/sports/2016/6/7/Oakland_City_University.aspx?id=499&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=14&image_path=/images/2016/8/22/athletics_full_color_logo_2.jpg
OHIO CHRISTIAN UNIVERSITY,"1476 Lancaster PikeCircleville, OH 43113-9487(740) 474-8896",https://thenccaa.org/sports/2016/6/7/Ohio_Christian_University.aspx?id=500&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/3/24/OCU_PNG_logo.png
OKLAHOMA WESLEYAN UNIVERSITY,"2201 Silver Lake RoadBartlesville, OK 74006-6233(918) 335-6843",https://thenccaa.org/sports/2016/6/7/Oklahoma_Wesleyan_University.aspx?id=502&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/9/2/OKWU_Eagle_Full_5_.png
OLIVET NAZARENE UNIVERSITY,"1 University AvenueBourbonnais, IL 60914-2345(815) 939-5011",https://thenccaa.org/sports/2016/6/7/Olivet_Nazarene_University.aspx?id=503&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2019/2/5/Tiger_Head_with_ONU_CMYK.png
OTTAWA UNIVERSITY ARIZONA,"15950 N. Civic Center PlazaSurprise, AZ 85374(855) 546-1342",https://thenccaa.org/sports/2017/7/7/Ottawa_University_Arizona.aspx?id=672&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2017/7/7/OU_1612_Spirit_Logo_PMS_Gradient_clean.jpg
OZARK CHRISTIAN COLLEGE,"1111 North Main StreetJoplin, MO 64801(417) 626-1234",https://thenccaa.org/sports/2016/6/7/Ozark_Christian_College.aspx?id=504&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=13&image_path=/images/2016/6/7/occ_logos_face.png
OZARK CHRISTIAN COLLEGE,"1111 North Main StreetJoplin, MO 64801(417) 626-1234",https://thenccaa.org/sports/2016/6/7/Ozark_Christian_College.aspx?id=504&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=13&image_path=/images/2016/6/7/occ_logos_face.png
OZARK CHRISTIAN COLLEGE,"1111 North Main StreetJoplin, MO 64801(417) 626-1234",https://thenccaa.org/sports/2016/6/7/Ozark_Christian_College.aspx?id=504&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=13&image_path=/images/2016/6/7/occ_logos_face.png
PAINE COLLEGE,"1235 15th St.Augusta, GA 30901(706) 821-8200",https://thenccaa.org/sports/2021/6/24/Paine_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2021/6/23/Paine_College_Lions_Primary_Logo.png
PENSACOLA CHRISTIAN COLLEGE,"250 Brent LanePensacola, FL 32523-9160(850) 478-8496",https://thenccaa.org/sports/2016/6/7/Pensacola_Christian_College.aspx?id=505&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2016/6/7/Primary_Eagle_Logo_2015.png
PORTLAND BIBLE COLLEGE,"9150 NE Fremont StreetPortland, OR 97220-3682(503) 255-3540",https://thenccaa.org/sports/2016/6/8/Portland_Bible_College.aspx?id=508&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2016/6/8/Portland_Bible.jpg
PROVIDENCE CHRISTIAN COLLEGE,"1539 East Howard StreetPasadena, CA 91104-2635(626) 696-4000",https://thenccaa.org/sports/2016/6/29/Providence_Christian_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2016/6/29/Providence_Sea_Beggars.jpg
PROVIDENCE UNIVERSITY COLLEGE,"10 College CrescentOtterburne, Manitoba, Canada, ROA 1G0(204) 433-7488",https://thenccaa.org/sports/2016/6/8/Providence_University_College.aspx?id=509&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2021/8/9/Pilots_Head_Logo_White_Outline.png
