Review,ReviewDate,Ratings,ReviewerCompany,Person,SpentAmount,Link,ProjectTimeline
"""Their friendly, helpful team can deliver good apps at cost-effective prices.""","Sep 19, 2018",3.5,"                                                                                                            Business Application Analyst, Utilities Company                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/techahead,Sep. 2016 - Apr. 2017
"""Overall, TechAhead was simply behind other developers when it comes to project management.""","May 14, 2016",1.0,                                                                                                            Founder at GeekUdyog                                                                                                    ,No Person Found,"$10,000 to $49,999",https://clutch.co/profile/techahead,No Date Found
"""TechAhead will leave you behind your competition due to their poor code.""","Feb 1, 2016",1.0,                                                                                                            CEO at Restaurant Guide Startup                                                                                                    ,No Person Found,"$10,000 to $49,999",https://clutch.co/profile/techahead,No Date Found
"""I would like to see more loyalty and dedication toward project completion and success.""","Nov 10, 2017",0.5,"                                                                                                            CEO, Large Truck Manufacturer                                                                                                    ",No Person Found,"$200,000 to $999,999",https://clutch.co/profile/chopdawgcom,Jan. - July 2016
“They left us in the dark and let it get worse and worse.”,"Mar 11, 2020",0.5,"                                                                                                            CEO & Co-Founder, KNOW                                                                                                    ",Andrew Braswell,"$200,000 to $999,999",https://clutch.co/profile/utility,July 2019 - Jan. 2020
"""They are HIGHLY unprofessional and I would HIGHLY advise anyone to stay away and do work with another company.""","Dec 12, 2021",0.5,"                                                                                                            CEO, Real Rolty LLC                                                                                                    ",Antonio Viola,"$10,000 to $49,999",https://clutch.co/profile/quytech,June 2021 - Ongoing
"""Nice to work with, good quality, and cost effective.""","May 9, 2013",3.0,"                                                                                                            E-commerce Manager, Goal Achievement App                                                                                                    ",No Person Found,"Less than $10,000",https://clutch.co/profile/mtraction-enterprise,No Date Found
"""The dedication of the Affle team has been very impressive.""","Sep 14, 2015",3.5,"                                                                                                            Managing Director, Commodities Trading Firm                                                                                                    ",No Person Found,"$50,000 to $199,999",https://clutch.co/profile/mtraction-enterprise,No Date Found
"""Overall, we were happy with the work by Affle until the end.""","Nov 10, 2014",2.0,                                                                                                            none                                                                                                    ,No Person Found,"Less than $10,000",https://clutch.co/profile/mtraction-enterprise,No Date Found
"""When I notified the owner of RVT, I had the most unprofessional response and management of the situation.""","Feb 20, 2021",0.5,"                                                                                                            CEO, Advisory & Principal Investment Company                                                                                                    ",No Person Found,"Less than $10,000",https://clutch.co/profile/rv-technologies,Dec. 2020 - Jan. 2021
“Only hire Konstant if you know very specifically what you want and don’t have a strict timeline.”,"Mar 9, 2018",2.5,"                                                                                                            Co-Founder, Audiobook Apps                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/konstant-infosolutions,Jan. 2017 - Ongoing
"“I was just a simple app, but they kept prolonging the work, and I’d have 2–3 days with no communication sometimes.”","Jul 15, 2020",0.5,"                                                                                                            CEO, C2C Marketplace                                                                                                    ",No Person Found,"Less than $10,000",https://clutch.co/profile/konstant-infosolutions,Oct. 2019 - June 2020
"""Communication was on point, they just have to get their development up to what they're promising.""","Jan 9, 2017",2.5,"                                                                                                            CEO, Music Startup                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/konstant-infosolutions,Sep. 2015 - Jan. 2017
“I provided Konstant detailed specifications ... they were able to turn those into a detailed proposal quickly.”,"Feb 9, 2016",3.0,"                                                                                                            Sole Proprietor, Website Startup                                                                                                    ",No Person Found,"Less than $10,000",https://clutch.co/profile/konstant-infosolutions,July 2015 - Ongoing
"""They ended up representing a pretty significant net-loss for our company that we’re still trying to recover from."" ","Jul 19, 2022",1.0,"                                                                                                            COO, The Yoga Abbey                                                                                                    ",Brian Williams,"$50,000 to $199,999",https://clutch.co/profile/camber-creative,July 2021 - May 2022
“Zco had a lot of problems keeping track of details.”,"May 20, 2021",3.0,"                                                                                                            Director, Educational Consultancy Company                                                                                                    ",No Person Found,"$50,000 to $199,999",https://clutch.co/profile/zco,Jan. 2018 - June 2019
“I think the project manager on Zco’s side basically just left us in the dark. They didn’t have a plan.”,"Jan 8, 2014",1.0,"                                                                                                            CEO, The Lobster Guys, Seafood Cargo Container Firm                                                                                                    ",Samuel Wahnon,"$50,000 to $199,999",https://clutch.co/profile/zco,No Date Found
"""They were unable to deliver the project and meet their obligations.""","Sep 29, 2021",1.0,"                                                                                                            Head of Product, SaaS Company                                                                                                    ",No Person Found,"$50,000 to $199,999",https://clutch.co/profile/steelkiwi,Jan. - Apr. 2019
"""No accountability.""","Dec 2, 2020",1.0,"                                                                                                            Founder, Atom                                                                                                    ",Samvid Sharma,"Less than $10,000",https://clutch.co/profile/yugasa-software-labs,Feb. 2019 - Jan. 2020
